nombre,direccion,latitud,longitud,codigo_postal,types,rating,user_ratings_total
Krachai - Thai Cuisine,"Calle de Fernando VI, 11, Madrid",40.4254055,-3.696202500000001,28003,"restaurant, food, point_of_interest, establishment",4.2,1501.0
La Favorita Madrid,"Calle de Covarrubias, 25, Madrid",40.4306435,-3.698202599999999,28003,"restaurant, food, point_of_interest, establishment",4.3,1312.0
Cazorla,"Calle de Castelló, 99, Madrid",40.43391889999999,-3.680861300000001,28003,"bar, restaurant, food, point_of_interest, establishment",4.3,2664.0
Cervecería José Luis (Serrano),"Calle de Serrano, 89, Madrid",40.4369999,-3.6865438,28003,"bar, restaurant, food, point_of_interest, establishment",4.2,1078.0
Zalacaín Restaurant,"Calle de Álvarez de Baena, 4, Madrid",40.4384851,-3.6887062,28003,"restaurant, food, point_of_interest, establishment",4.6,957.0
Lola 09,"Calle de San Mateo, 28, Madrid",40.4260406,-3.6981039,28003,"bar, restaurant, food, point_of_interest, establishment",4.2,1933.0
Restaurante La Cuchara,"Calle del Conde de Peñalver, 82, Madrid",40.4329204,-3.674826000000001,28003,"cafe, bar, restaurant, food, point_of_interest, store, establishment",4.2,2476.0
O'Pazo,"Calle de la Reina Mercedes, 20, Madrid",40.45077250000001,-3.6973279,28003,"restaurant, food, point_of_interest, establishment",4.6,1631.0
Bosco,"Calle de Fernández de la Hoz, 78, Madrid",40.4401595,-3.694274199999999,28003,"restaurant, bar, food, point_of_interest, establishment",4.6,617.0
La Gran Tasca,"Calle de Santa Engracia, 161, Madrid",40.4447699,-3.7032291,28003,"restaurant, food, point_of_interest, establishment",4.4,1623.0
Realcafé Bernabéu,"Avenida de Concha Espina, 1, puerta 30, Madrid",40.4521463,-3.6884277,28003,"restaurant, cafe, food, point_of_interest, store, establishment",4.3,3119.0
RESTAURANTE LOBBO,"Calle Gabriel Lobo, 11, Madrid",40.44301550000001,-3.680793300000001,28003,"restaurant, food, point_of_interest, establishment",4.1,1516.0
Restaurante O'Caldiño,"Calle de Lagasca, 74, Madrid",40.42856439999999,-3.6848595,28003,"restaurant, food, point_of_interest, establishment",4.2,2286.0
Areia Club,"Calle de Hortaleza, 92, Madrid",40.4245406,-3.6980344,28003,"bar, night_club, restaurant, food, point_of_interest, establishment",4.4,4881.0
Maruzzella,"Calle de Raimundo Fernández Villaverde, 28, Madrid",40.4461776,-3.699724099999999,28003,"restaurant, food, point_of_interest, establishment",4.4,2524.0
